sofifa_id;player_url;short_name;long_name;age;dob;height_cm;weight_kg;nationality;club;overall;potential
158023;https://sofifa.com/player/158023/lionel-messi/20/159586;L. Messi;Lionel Andrés Messi Cuccittini;32;24.06.1987;170;72;Argentina;FC Barcelona;94;94
20801;https://sofifa.com/player/20801/c-ronaldo-dos-santos-aveiro/20/159586;Cristiano Ronaldo;Cristiano Ronaldo dos Santos Aveiro;34;05.02.1985;187;83;Portugal;Juventus;93;93
190871;https://sofifa.com/player/190871/neymar-da-silva-santos-jr/20/159586;Neymar Jr;Neymar da Silva Santos Junior;27;05.02.1992;175;68;Brazil;Paris Saint-Germain;92;92
200389;https://sofifa.com/player/200389/jan-oblak/20/159586;J. Oblak;Jan Oblak;26;07.01.1993;188;87;Slovenia;Atlético Madrid;91;93
183277;https://sofifa.com/player/183277/eden-hazard/20/159586;E. Hazard;Eden Hazard;28;07.01.1991;175;74;Belgium;Real Madrid;91;91
192985;https://sofifa.com/player/192985/kevin-de-bruyne/20/159586;K. De Bruyne;Kevin De Bruyne;28;28.06.1991;181;70;Belgium;Manchester City;91;91
192448;https://sofifa.com/player/192448/marc-andre-ter-stegen/20/159586;M. ter Stegen;Marc-André ter Stegen;27;30.04.1992;187;85;Germany;FC Barcelona;90;93
